tag,dataset,seed,features,balance,model,family,n_features,n_train,n_train_used,n_val,svm_cap,epochs_run,max_epochs,train_seconds,predict_seconds,load_seconds,total_seconds,finished_utc,host,accuracy,balanced_accuracy,precision,recall,f1,precision_macro,recall_macro,f1_macro,mcc,roc_auc,pr_auc,tn,fp,fn,tp,n_test,pos_rate,f1_consistency_error
CIC-IDS2017__balanced__all__LSTM__seed43,CIC-IDS2017,43,all,balanced,LSTM,DL,47,2639016,2639016,176407,,48.0,200,186.58177018165588,0.9075207710266113,21.451972007751465,187.4892909526825,2026-09-01T09:02:19.069226+00:00,gpu1.nitsri.ac.in,0.9951787691245465,0.9950746815435905,0.9769609350968933,0.9949174974352548,0.9858574571358731,0.9879620894886982,0.9950746815435905,0.9914757604869945,0.9830110397324382,0.9998664661631922,0.9993541929984564,625342,2996,649,127044,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__LSTM__seed44,CIC-IDS2017,44,all,balanced,LSTM,DL,47,2639016,2639016,176407,,54.0,200,206.4329128265381,0.8915488719940186,22.512441158294678,207.3244616985321,2026-09-01T12:02:01.388524+00:00,gpu1.nitsri.ac.in,0.9958030821487479,0.9947545397970305,0.982179644057558,0.9931711213613902,0.9876448026789713,0.9903943462898759,0.9947545397970305,0.9925585066637763,0.9851392370984179,0.999838085237865,0.9993507988058623,626037,2301,872,126821,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__LSTM__seed45,CIC-IDS2017,45,all,balanced,LSTM,DL,47,2639016,2639016,176407,,54.0,200,210.02842664718628,0.8437135219573975,20.883323431015015,210.87214016914368,2026-09-01T15:09:46.646239+00:00,gpu1.nitsri.ac.in,0.9966218316444696,0.9948259237489654,0.9879360227086631,0.9921138981776605,0.9900205528160484,0.9931660017907458,0.9948259237489654,0.993993666741555,0.987990531124038,0.9998575494165234,0.999307159894855,626791,1547,1007,126686,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__LSTM__seed46,CIC-IDS2017,46,all,balanced,LSTM,DL,47,2639016,2639016,176407,,43.0,200,165.88728713989258,0.8792052268981934,20.933270692825317,166.76649236679077,2026-09-01T18:28:25.588859+00:00,gpu1.nitsri.ac.in,0.9958996390359655,0.9952868530384671,0.9816007359705612,0.9943614763534414,0.9879399018074586,0.9902259102893027,0.9952868530384671,0.9927349068883542,0.9854997684121629,0.999831912452616,0.9991938216186711,625958,2380,720,126973,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__MLP__seed42,CIC-IDS2017,42,all,balanced,MLP,DL,47,2639016,2639016,176407,,81.0,200,85.51486897468567,0.3958549499511719,21.86661458015442,85.91072392463684,2026-09-01T04:47:22.093876+00:00,gpu1.nitsri.ac.in,0.9958004367545775,0.9955235614636079,0.9803268064620655,0.9951054482234735,0.9876608462133372,0.9896645310811891,0.9955235614636079,0.9925652318456135,0.9851706702166043,0.9998554668176073,0.9993275090572337,625788,2550,625,127068,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__MLP__seed43,CIC-IDS2017,43,all,balanced,MLP,DL,47,2639016,2639016,176407,,85.0,200,89.29248762130737,0.3899719715118408,21.451972007751465,89.68245959281921,2026-09-01T09:03:49.798714+00:00,gpu1.nitsri.ac.in,0.9969683782807848,0.9969313042129688,0.9853468228227299,0.9968753181458655,0.9910775459358455,0.9923551504086274,0.9969313042129688,0.9946257579629274,0.9892758705811673,0.9998158719005125,0.9992168456978703,626445,1893,399,127294,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__MLP__seed44,CIC-IDS2017,44,all,balanced,MLP,DL,47,2639016,2639016,176407,,91.0,200,97.63386988639832,0.3908963203430176,22.512441158294678,98.02476620674133,2026-09-01T12:03:40.464207+00:00,gpu1.nitsri.ac.in,0.9968837256673337,0.9940194358292596,0.9918378238382634,0.9896940317793458,0.9907647681392341,0.9948721646306526,0.9940194358292596,0.9944451963329334,0.9888912328025553,0.9997658887849448,0.99908149988032,627298,1040,1316,126377,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__MLP__seed45,CIC-IDS2017,45,all,balanced,MLP,DL,47,2639016,2639016,176407,,67.0,200,68.25908493995667,0.3885068893432617,20.883323431015015,68.64759182929993,2026-09-01T15:10:56.345609+00:00,gpu1.nitsri.ac.in,0.9942594946503517,0.9949303410217883,0.9708237593227326,0.9959433954876148,0.9832231628590204,0.9849975022035,0.9949303410217883,0.9898802518641457,0.9798775008342497,0.9997971963054066,0.9990262901568103,624516,3822,518,127175,756031,0.16889915889692353,1.1102230246251565e-16
CIC-IDS2017__balanced__all__MLP__seed46,CIC-IDS2017,46,all,balanced,MLP,DL,47,2639016,2639016,176407,,92.0,200,98.24052357673645,0.3921787738800049,20.933270692825317,98.63270235061646,2026-09-01T18:30:05.262317+00:00,gpu1.nitsri.ac.in,0.9967514559588165,0.9948727083410269,0.988767903836397,0.9920355853492361,0.9903990492869652,0.9935741302223029,0.9948727083410269,0.9942220153181391,0.9884459855554631,0.9997746812270203,0.9989414353725207,626899,1439,1017,126676,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__RF__seed42,CIC-IDS2017,42,all,balanced,RF,ML,47,2639016,2639016,176407,,,200,46.43965029716492,0.370635986328125,21.86661458015442,46.81028628349304,2026-09-01T04:20:32.816774+00:00,gpu1.nitsri.ac.in,0.9992870662710921,0.9990968672314937,0.9969748608592334,0.9988096450079488,0.9978914095477288,0.9983664311667569,0.9990968672314937,0.9987312100224197,0.9974630309513595,0.9999826594999127,0.9998930289088022,627951,387,152,127541,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__RF__seed43,CIC-IDS2017,43,all,balanced,RF,ML,47,2639016,2639016,176407,,,200,48.79472851753235,0.41316747665405273,21.451972007751465,49.2078959941864,2026-09-01T08:37:13.897710+00:00,gpu1.nitsri.ac.in,0.9993188110011362,0.9991003657760722,0.9972008069182292,0.9987704885937365,0.997985030537547,0.9984754307222754,0.9991003657760722,0.9987875768497838,0.9975756007518882,0.9999770941227298,0.9998706916694736,627980,358,157,127536,756031,0.16889915889692353,0.0
CIC-IDS2017__balanced__all__RF__seed44,CIC-IDS2017,44,all,balanced,RF,ML,47,2639016,2639016,176407,,,200,50.94600033760071,0.49251365661621094,22.512441158294678,51.43851399421692,2026-09-01T11:38:12.238102+00:00,gpu1.nitsri.ac.in,0.9992963251506882,0.9989901213928276,0.9973093258453332,0.9985277188256209,0.9979181504410234,0.9985050247604779,0.9989901213928276,0.9987473794257771,0.9974950281984675,0.9999573950447213,0.9998267536185168,627994,344,188,127505,756031,0.16889915889692353,1.1102230246251565e-16
