dataset,balance,features,model,family,accuracy_mean,accuracy_std,accuracy_count,precision_mean,precision_std,precision_count,recall_mean,recall_std,recall_count,f1_mean,f1_std,f1_count,f1_macro_mean,f1_macro_std,f1_macro_count,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_count,mcc_mean,mcc_std,mcc_count,roc_auc_mean,roc_auc_std,roc_auc_count,pr_auc_mean,pr_auc_std,pr_auc_count,train_seconds_mean,train_seconds_std,train_seconds_count,predict_seconds_mean,predict_seconds_std,predict_seconds_count
CIC-IDS2017,imbalanced,all,LSTM,DL,0.9971339799558484,0.00018598221664598808,5,0.9954156142302295,0.0011081282662069893,5,0.9875811516684548,0.0012995966096445851,5,0.9914819747647702,0.0005547366833895861,5,0.9948795623840274,0.00033321986645968676,5,0.9933282450504773,0.0005900019454414766,5,0.9897709949336638,0.0006645717772570655,5,0.9998384973318639,3.1179296876035224e-05,5,0.9993278070620357,0.00011873841305357679,5,212.08399381637574,49.27764429765621,5,0.8959546566009522,0.02397774120193108,5
CIC-IDS2017,imbalanced,all,MLP,DL,0.9967972212779636,0.0004637091890079853,5,0.9932023789383058,0.0023598730299119186,5,0.9878019938446118,0.0008489739103409172,5,0.9904938076780103,0.0013672362104726157,5,0.9942840006813414,0.0008232153791267431,5,0.9932136280221279,0.0005476839638167427,5,0.9885740658449655,0.001649147450901476,5,0.9997602391857449,4.895804946454779e-05,5,0.9990115678027506,0.0002381777519258378,5,64.2940062046051,10.230750562496116,5,0.3909162044525146,0.007628836498863212,5
CIC-IDS2017,imbalanced,all,RF,ML,0.9992762201549936,1.7306620743097677e-05,5,0.9982538144757805,0.0001073899820250909,5,0.9974595318459117,0.0001000750929227294,5,0.9978565085683941,5.123919514901034e-05,5,0.9987105546624353,3.082537852227373e-05,5,0.9985524728100135,4.538606266562405e-05,5,0.997421228482423,6.16521604445103e-05,5,0.9999624101514508,9.874298169108848e-06,5,0.9998408306520515,2.946836611618331e-05,5,26.535277366638184,0.8521546978106557,5,0.42427902221679686,0.04806279583833294,5
CIC-IDS2017,imbalanced,all,SVM,ML,0.9501840532994017,0.00037269862758375615,5,0.7955821899295964,0.0012904021882374642,5,0.9488585905257141,0.0015928971757855088,5,0.8654855332485412,0.0009808546224822714,5,0.9174586172262279,0.0006037652158716923,5,0.9496560044544067,0.0007681187230663064,5,0.8400885266730385,0.0012061158207279537,5,0.9899629860772456,0.000566698546777435,5,0.9611228651552496,0.0021602226282518983,5,8.961332845687867,1.3337883795441565,5,71.89008502960205,1.899033245722311,5
CIC-IDS2017,imbalanced,all,SimpleRNN,DL,0.9972350340131555,0.00012771597581525925,5,0.9951236667678529,0.0008332124453781444,5,0.9884739179124932,0.0004379360918272425,5,0.9917874050577626,0.00037653289496021727,5,0.995062546787594,0.00022671414285406604,5,0.9937447079703123,0.00019790465496375746,5,0.9901333339297755,0.00045493123277151175,5,0.9998253090750602,2.067322437726843e-05,5,0.9992739787069536,8.423135775870172e-05,5,124.88328227996826,37.201873664684314,5,0.6341465473175049,0.025297433374991143,5
CIC-IDS2017,imbalanced,top10,CNN,DL,0.9927852164792185,0.0015733537704889617,5,0.9792430445347883,0.0038615580013770913,5,0.9780160228046956,0.006907600777059752,5,0.9786216189809667,0.0047097763779252195,5,0.98714097106938,0.0028270609579153076,5,0.986901342698561,0.0036483398844388538,5,0.9742876859593146,0.005650006736927998,5,0.9994553157201752,0.00017914283832171058,5,0.9976688544449195,0.0007071037021056315,5,260.045422410965,66.95580042864894,5,0.6430478572845459,0.014011848593962555,5
CIC-IDS2017,imbalanced,top10,DT,ML,0.9975217947412209,0.0005579858442350249,5,0.9941577597540949,0.002044896470482063,5,0.9911553491577456,0.0026335161554887944,5,0.99265200574993,0.0016564636331486112,5,0.9955807838471721,0.0009959767272565267,5,0.9949854773856425,0.001328837645708184,5,0.9911648584463117,0.0019901346309188317,5,0.9968397710479702,0.0010123093150310562,5,0.9903180195596217,0.00301052213992168,5,8.208304166793823,0.6210090815464089,5,0.0337946891784668,0.0025921321277481814,5
CIC-IDS2017,imbalanced,top10,GNB,ML,0.6467255972308014,0.28512443333462373,5,0.4207656255208372,0.2040501447240467,5,0.7480206432615727,0.2081719906492178,5,0.48132886971131317,0.13761879759263482,5,0.581803980331401,0.2263231116505011,5,0.687080357184899,0.08882883700616326,5,0.36766020523875426,0.17439102419529343,5,0.7886923781778339,0.027918198350219536,5,0.593577332572748,0.03349404485206441,5,0.14983949661254883,0.00596228831187177,5,0.022059202194213867,0.0019578167085786786,5
CIC-IDS2017,imbalanced,top10,GRU,DL,0.9919527109338109,0.001992786156859312,5,0.9819687130769295,0.0076287620215138244,5,0.9702098000673491,0.007843904530472328,5,0.9760332704392167,0.005931932281897514,5,0.9855989001192722,0.0035645740786612104,5,0.98329058990123,0.004111783673454427,5,0.9712383021082787,0.007111919168974874,5,0.9991050117467053,0.00027582231421589826,5,0.996416707641143,0.001035957734853375,5,354.3729364871979,119.16444493685873,5,0.7561291217803955,0.04606466405298744,5
CIC-IDS2017,imbalanced,top10,KNN,ML,0.9974818492892487,0.00046450534164841945,5,0.9936202148207004,0.0013162663491711236,5,0.9914592029320323,0.0029335843368546643,5,0.9925359016146752,0.0013860612260868294,5,0.9955106716920789,0.0008325267371444223,5,0.9950824975187775,0.0014239025886439915,5,0.9910240983230892,0.0016622400260885403,5,0.997857394661985,0.0008696704259936248,5,0.99407815503397,0.0015934712756690182,5,3.2678781032562254,0.28605357909439644,5,16.59623818397522,5.889787120133587,5
CIC-IDS2017,imbalanced,top10,LSTM,DL,0.991469661958306,0.0010109656857534982,5,0.9813555246892551,0.003159560266331202,5,0.9678854753197121,0.0035558655299634816,5,0.9745721459609731,0.003020044617823956,5,0.9847236821667824,0.001813549874876483,5,0.9820739982234381,0.0019857043478818917,5,0.9694823834615054,0.0036258763011636987,5,0.9991049130633035,0.00020947648668506069,5,0.9964134507458938,0.0006490417822542172,5,318.1091626644135,88.96860990017473,5,0.8125149726867675,0.010921337721089221,5
CIC-IDS2017,imbalanced,top10,MLP,DL,0.9870896828304658,0.0029607153285695718,5,0.9751364432231252,0.008165142747241035,5,0.9478185961642376,0.01849194020379446,5,0.9611797317716343,0.00924321732822988,5,0.9767184571141682,0.00550224097985995,5,0.9714445418521915,0.008994860673623591,5,0.953651874979404,0.01085070571104089,5,0.9978450474101628,0.0008787831899240971,5,0.9923912164134059,0.003162077284138769,5,115.3433424949646,4.082363787765301,5,0.2951467514038086,0.003010853204728271,5
CIC-IDS2017,imbalanced,top10,RF,ML,0.997853262630765,0.0005227298211220169,5,0.9953688975636258,0.0018650569255562947,5,0.9919087185671884,0.002973992943139794,5,0.9936327642873891,0.0015551554789352906,5,0.9961708807600415,0.0009346547349853305,5,0.9954850258993329,0.0014516593437120134,5,0.9923461323721117,0.001865866708413642,5,0.9994653581989521,0.0005120668630227541,5,0.9984469715817361,0.0006947546654801639,5,16.979254484176636,0.6516669521411683,5,0.28862438201904295,0.03176036863489899,5
CIC-IDS2017,imbalanced,top10,SVM,ML,0.9183954097120356,0.012199333081109006,5,0.717084002180405,0.03210852435684167,5,0.8542833201506739,0.03466847441683463,5,0.7796197844013018,0.03239973970790666,5,0.8647725050796454,0.019944758577487173,5,0.8928539041223308,0.020817765252730894,5,0.7342892364163323,0.03975851925185056,5,0.958643779881864,0.0064534210646758445,5,0.8743789334267908,0.029713546456372714,5,9.227445316314697,2.0909061136528724,5,70.67741045951843,3.174806821988378,5
CIC-IDS2017,imbalanced,top10,SimpleRNN,DL,0.9915754777251198,0.0015078660911436628,5,0.9793494311321023,0.004213371270943618,5,0.9706076292357452,0.00881098046754136,5,0.9749363622960013,0.0045763755500841,5,0.9849365674296313,0.002739311768719879,5,0.9832221324659096,0.0043314938592005706,5,0.969903625820389,0.005438300123317577,5,0.9989976044670156,0.00016369091218229216,5,0.9961131824684537,0.0006445497834688626,5,275.9718814849854,4.343288775268545,5,0.5213198184967041,0.005335470023023363,5
CIC-IDS2017,imbalanced,top20,CNN,DL,0.997177364420242,0.0007043290564958536,5,0.9944353614031675,0.0018969890946964917,5,0.9888216268706976,0.0027603833469888347,5,0.9916195475660905,0.002094593272726367,5,0.9949612118523848,0.001258964979346242,5,0.9938485364443027,0.0015022236641093016,5,0.9899288986097812,0.0025156650906748654,5,0.9998781756334294,4.524213775796811e-05,5,0.9994782764585354,0.00018070611769298843,5,364.5024370193481,168.68042147138075,5,0.7808939456939697,0.008251916708484859,5
CIC-IDS2017,imbalanced,top20,DT,ML,0.9987217455368894,0.0004724423291236204,5,0.9963537835098825,0.0010698124097461297,5,0.9960765272959364,0.0017637954516758231,5,0.9962150014424,0.0014002793868736901,5,0.9977230133270385,0.0008422182709862385,5,0.9976679215709332,0.0009854450240071426,5,0.9954461381469013,0.0016843079604853912,5,0.9979277106600473,0.0007692142826276612,5,0.9936530143132642,0.002030979926073975,5,16.40020794868469,1.7258195933975722,5,0.03421807289123535,0.0008913071551411539,5
CIC-IDS2017,imbalanced,top20,GNB,ML,0.2834063682573863,0.037192927605113515,5,0.18935086933904383,0.007633453883259692,5,0.9860007987908499,0.005758692184262241,5,0.3176196257920128,0.010367586939108692,5,0.28067384056952555,0.03909358037079334,5,0.5633117604781543,0.02014955136531045,5,0.14558258051826312,0.025491327227796158,5,0.6107556682904993,0.008070185124807379,5,0.20762944658355073,0.0036242757465061648,5,0.20428729057312012,0.0016473799874886297,5,0.05274186134338379,0.003101424181888736,5
CIC-IDS2017,imbalanced,top20,GRU,DL,0.9958030821487478,0.0001885898887957393,5,0.9922692014997965,0.0011150614388975462,5,0.9828103341608388,0.001485499608942124,5,0.9875159748110892,0.0005668426211935068,5,0.9924967551918721,0.0003399589142503046,5,0.9906269235236076,0.0006721971972222861,5,0.985010726494227,0.0006766875682590942,5,0.9996609449459752,7.422342145841864e-05,5,0.9986406819475503,0.00019542247197465963,5,344.49589385986326,94.76027138757735,5,0.7877255916595459,0.0328752233246198,5
CIC-IDS2017,imbalanced,top20,KNN,ML,0.9961530677974844,0.0026281459535167757,5,0.9871551885996205,0.008135534755088361,5,0.9901122222831322,0.007446490914197956,5,0.9886310546296055,0.007765681017023731,5,0.99315794793868,0.004673702471798734,5,0.9937464656959619,0.004543704679508335,5,0.986317820169452,0.0093464502660784,5,0.9977760413433376,0.0015151723267488207,5,0.9916723529937291,0.005037862818953016,5,0.056077766418457034,0.0008379219758390085,5,198.8183189868927,0.3074438539583172,5
CIC-IDS2017,imbalanced,top20,LSTM,DL,0.9956279570546711,0.0006680606336947946,5,0.991241621610387,0.001980778881721495,5,0.9827993703648594,0.002618376272509894,5,0.9870012772168361,0.001993336639542313,5,0.9921866517079927,0.0011972987537053365,5,0.9905171983680082,0.0014154915545227245,5,0.984387213581029,0.002391810031365022,5,0.9996108389989986,0.00016849861523866484,5,0.9984688526031806,0.0005778632934913096,5,305.3916876792908,118.33959012947773,5,0.8285985469818116,0.012816121109218202,5
CIC-IDS2017,imbalanced,top20,MLP,DL,0.9953475452726146,0.001092947490822142,5,0.9889875486887603,0.007694793595380088,5,0.9834634631498986,0.002061298673477852,5,0.9862001471365005,0.0031644195805890364,5,0.991701136140866,0.0019124374250752254,5,0.9906130661432867,0.0006967690563045875,5,0.9834206392487703,0.003824074011072516,5,0.999528061457687,0.00010750219067375082,5,0.9982633729393695,0.00035779092560858373,5,106.88783349990845,14.894377035048567,5,0.3120090961456299,0.007043908937158475,5
CIC-IDS2017,imbalanced,top20,RF,ML,0.9986852390973386,0.0007308592636701854,5,0.9974715456150157,0.0009321967694499012,5,0.9947358116733103,0.003562839525626011,5,0.9961001243706287,0.0021718097787479375,5,0.9976547334991009,0.0013055825511944328,5,0.9971118334679618,0.001856155530225721,5,0.9953120391767097,0.002608712695434825,5,0.9999311103708146,4.694606457796481e-05,5,0.9997953878848422,0.00011439333509091869,5,20.40985221862793,0.9011342572338431,5,0.2873568534851074,0.03701549404912669,5
CIC-IDS2017,imbalanced,top20,SVM,ML,0.9513895594228279,0.00925083202203554,5,0.8508196420221106,0.026333059068174132,5,0.8635633903189681,0.02866407051032063,5,0.8571374871261268,0.02736413788072329,5,0.9139247224714573,0.01646493019123156,5,0.9164006422866672,0.016965098017853265,5,0.8278895396884393,0.03294404207285722,5,0.979900438342146,0.004043456995613374,5,0.9405069588610779,0.008955514570449017,5,6.569239568710327,0.7231904598839106,5,69.93949823379516,10.283981417718701,5
CIC-IDS2017,imbalanced,top20,SimpleRNN,DL,0.996171585556677,0.0002777547353103489,5,0.9919331332077471,0.0027224093717985193,5,0.9853555010846327,0.001604409883103055,5,0.9886298760420786,0.0008070515054999764,5,0.9931640822272374,0.0004873692969705604,5,0.9918625841828093,0.0005870248250740652,5,0.9863386144520156,0.0009793442057879531,5,0.9997027486597834,4.402706371251875e-05,5,0.9987932221470033,9.803751466743619e-05,5,200.45499539375305,54.36780929012035,5,0.5352604866027832,0.004795680092239682,5
HIKARI-2021,balanced,all,CNN,DL,0.9944454622561493,0.00031861101198069275,5,0.8382791369615326,0.0075223606314852535,5,0.9981468282252315,0.0009262812397062211,5,0.9112414525681073,0.00468244868547427,5,0.9541872369443475,0.0024236556694692602,5,0.9962417362002624,0.0005661220935369729,5,0.9120924749844942,0.004506760648727978,5,0.9992524367828752,0.00012768984832895076,5,0.9783095576616045,0.0011960542711593005,5,75.89764485359191,19.946531725360334,5,0.3443950653076172,0.005839009959439305,5
HIKARI-2021,balanced,all,DT,ML,0.9948919423240034,9.006978663164325e-05,5,0.8523440998804077,0.001622412039185097,5,0.9932050368258494,0.0017181928944418681,5,0.9173983517618923,0.0014416094740743136,5,0.9573814165341646,0.0007440109900567973,5,0.994073286612078,0.0008707248856751166,5,0.9176284612811164,0.0014830018200154968,5,0.9958415806665334,0.0008449853366233693,5,0.9478569440780674,0.003059779469558728,5,17.584337043762208,0.5844480274413717,5,0.005054664611816406,0.0002778881507239934,5
HIKARI-2021,balanced,all,GNB,ML,0.8498361323155216,0.0013481179755642629,5,0.15962492020795388,0.0011982019310798743,5,0.9983368971252078,0.0007322896178390272,5,0.2752397974391363,0.0017829248505982578,5,0.5957402181781012,0.001298067458152387,5,0.9219035951756267,0.0007615602381596411,5,0.3669372253926865,0.0016900914364975836,5,0.9227375602116435,0.0007968244535675264,5,0.16043957465518704,0.0012762985164388122,5,0.13645434379577637,0.0024035785962927404,5,0.014799165725708007,0.00033158386499932785,5
HIKARI-2021,balanced,all,GRU,DL,0.9942174724342664,0.0003144582480280487,5,0.8330405732313387,0.007456202175104562,5,0.9975291043003087,0.0010571915163357887,5,0.9078812090154142,0.004593016484250354,5,0.9524481285388522,0.0023778694535455456,5,0.9958246083087395,0.0005968134664383458,5,0.9088454731408095,0.004405526202658252,5,0.9991774597290721,0.00014359942600171815,5,0.9753107360067501,0.002890661513736387,5,74.70212874412536,23.769258742547674,5,0.4140146732330322,0.008881680951660541,5
HIKARI-2021,balanced,all,KNN,ML,0.9931833757421543,0.00013710897111932012,5,0.8202716551218516,0.0033002443888153128,5,0.9749584224281301,0.0013185494821108756,5,0.8909473341204366,0.001972765309041352,5,0.9437145310189103,0.001021799160201122,5,0.9843388007814206,0.0006516675195209064,5,0.8909875604748333,0.0019026907092466936,5,0.9918500818242126,0.0009958834770404845,5,0.8442295782012119,0.003479511175931781,5,0.015287017822265625,0.00044051691216645766,5,22.431111097335815,0.18843766909716012,5
